 	 	Ontario Liberal Party/Parti libéral de l'Ontario	Ontario NDP/NPD	PC Party of Ontario/Parti PC de l'Ontario	Green Party of Ontario/Parti Vert de l'Ontario	Libertarian/Libertarien	PC Party of Ontario//Parti PC de l'Ontario	Libertarian/Libertarian	Freedom Party of Ontario/Parti de la Liberté – Ontario	Communist/Communiste	Family Coalition Party of Ontario/Parti de la Coalition des Familles de l'Ontario	Paupers/Pauvres	Green Party of Ontario/Parti Vert de l'Ontario 	Ontario Liberal Party/Parti libéral de l'Ontario 	Libertarian/Libertarien 	PC Party of Ontario/Parti PC de l'Ontario 	Communist/Communiste 	Freedom Party of Ontario/Parti de la Liberté – Ontario 	The People	Independent/Indépendant	Vegan Environmental Party/Parti écologique végan 	Independent/Indépendant 	Freedom Party of Ontario/Parti de la Liberté	Socialist Party of Ontario/Parti Socialiste d'Ontario 	Ontario Moderate Party/Ontario Moderate Party 	Family Coalition Party of Ontario/Parti de la Coalition des Familles de l'Ontario 	E.P.P.	None of the Above Party (NOTA)/Aucune de ces Réponses Party (NOTA) 	PC Party of Ontario	None of the Above Party (NOTA)/Aucune de ces Réponses Party (NOTA)	CCP/PCCC	Trillium Party TPO/Parti Trillium PTO	Green Party Of Ontario/Parti Vert de l'Ontario	Freedom Party Of Ontario/Parti de la Liberté – Ontario	Party for People with Special Needs/Parti pour les gens qui ont des besoins spéciaux	Paupers	Socialist Party of Ontario/Parti Socialiste d'Ontario	 Ontario NDP/NPD	Ontario Moderate Party	Green Party Of Ontario/Parti Vert de l'Ontario 	Northern Ontario Heritage Party	 Northern Ontario Heritage Party	Ontario Provincial Confederation of Regions Party	Vegan Environmental Party/Parti écologique végan	
Freedom Party Of Ontario/Parti de la Liberté – Ontario	
PC Party of Ontario/Parti PC de l'Ontario	Green Party of Ontario	Party for People with Special Needs/Parti pour les gens qui ont des besoins spéciaux 	Independent	
1	Ajax—Pickering	26149	8265	15012	1608	301																																												
2	Algoma—Manitoulin	6504	14172		828	464	4589																																											
3	Ancaster—Dundas—Flamborough—Westdale	23906	8457	18143	2620			418	246																																									
4	Barrie	19915	7975	17667	3018	366																																												
5	Beaches—East York	17102	16671	5955	2313	523			157																																									
6	Bramalea—Gore—Malton	17894	23521	9473	2285																																													
7	Brampton—Springdale	16848	13481	10234	1322					398																																								
8	Brampton West	24815	13096	13262	1502	932			540		788																																							
9	Brant	19346	13992	16041	2095	374			179			61																																						
10	Bruce—Grey—Owen Sound	11559	6789	20423	3768	188			200																																									
11	Burlington	23826	7854	20319	2351	368			253																																									
12	Cambridge	18763	10406	15696	2739	605																																												
13	Carleton—Mississippi Mills	20472	8748	30501	4614																																													
14	Chatham—Kent—Essex		11667										1971	9160	514	14183																																		
15	Davenport		14164										1974	16205	252	2619	174	111	99																															
16	Don Valley-East	19253	4492	9227									1264					287																																
17	Don Valley-West		3569	14082		338			83	153			1286	26215						138	116																													
18	Dufferin—Caledon		5243										7535	13862	540	18030																																		
19	Durham	19816	13094		2326	620										18580																																		
20	Eglinton—Lawrence	22855	3044										1314			14069		265				144																												
21	Elgin—Middlesex—London		11942										2208	9051		20762		798																																
22	Essex		28092										1679	6625		10178																																		
23	Etobicoke-Centre		5696										1254	23632	521	15531			243		148		240																											
24	Etobicoke—Lakeshore		6348										2083	23950	345	17402							298	230	148																									
25	Etobicoke North		7134										671	12150	706	6163		287																																
26	Glengarry—Prescott—Russell		5843										1688	23662	426	15118		264				297																												
27	Guelph	21949	9392			168							10181			11179	236																																	
28	Haldimand—Norfolk		9786										2071	8331	0	22051																																		
29	Haliburton—Kawartha Lakes—Brock		10490	21747									2266	18617																																				
30	Halton		9864		2681									33665	917	27939										354																								
31	Hamilton Centre	8450	18699	5136					331	229			3078																																					
